,Survived,Pclass,Sex,Embarked,Title,AgeC,FamilySize,Alone,NameLength,FareC,Position,Pair
85,1,3,1,0,2,1.0,3,0,55,2.0,U,0
86,0,3,0,0,0,1.0,4,0,22,3.0,U,0
87,0,3,0,0,0,1.0,0,1,29,1.0,U,0
88,1,1,1,0,1,1.0,5,0,26,3.0,3,1
89,0,3,0,0,0,1.0,0,1,22,1.0,U,0
90,0,3,0,0,0,1.0,0,1,20,1.0,U,0
91,0,3,0,0,0,1.0,0,1,26,0.0,U,0
92,0,1,0,0,0,2.0,1,0,27,3.0,5,1
93,0,3,0,0,0,1.0,3,0,23,2.0,U,0
94,0,3,0,0,0,3.0,0,1,17,0.0,U,0
95,0,3,0,0,0,1.0,0,1,27,1.0,U,0
96,0,1,0,1,0,3.0,0,1,25,3.0,1,1
97,1,1,0,1,0,1.0,1,0,31,3.0,4,0
98,1,2,1,0,2,1.0,1,0,36,2.0,U,0
99,0,2,0,0,0,1.0,1,0,17,2.0,U,0
100,0,3,1,0,1,1.0,0,1,23,0.0,U,0
101,0,3,0,0,0,1.0,0,1,32,0.0,U,0
102,0,1,0,0,0,1.0,1,0,25,3.0,4,0
103,0,3,0,0,0,1.0,0,1,26,1.0,U,0
104,0,3,0,0,0,2.0,2,0,30,1.0,U,0
105,0,3,0,0,0,1.0,0,1,21,0.0,U,0
106,1,3,1,0,1,1.0,0,1,32,0.0,U,0
107,1,3,0,0,0,1.0,0,1,22,0.0,U,0
108,0,3,0,0,0,2.0,0,1,15,0.0,U,0
109,1,3,1,2,1,1.0,1,0,19,2.0,U,0
110,0,1,0,0,0,2.0,0,1,30,3.0,3,0
111,0,3,1,1,1,1.0,1,0,20,1.0,U,0
112,0,3,0,0,0,1.0,0,1,22,1.0,U,0
113,0,3,1,0,1,1.0,1,0,23,1.0,U,0
114,0,3,1,1,1,1.0,0,1,21,1.0,U,0
115,0,3,0,0,0,1.0,0,1,21,1.0,U,0
116,0,3,0,2,0,3.0,0,1,20,0.0,U,0
117,0,2,0,0,0,1.0,1,0,31,2.0,U,0
118,0,1,0,1,0,1.0,1,0,24,3.0,2,0
119,0,3,1,0,1,0.0,6,0,33,3.0,U,0
120,0,2,0,0,0,1.0,2,0,27,3.0,U,0
121,0,3,0,0,0,1.0,0,1,26,1.0,U,0
122,0,2,0,1,0,1.0,1,0,20,2.0,U,0
123,1,2,1,0,1,1.0,0,1,19,1.0,5,1
124,0,1,0,0,0,3.0,1,0,27,3.0,4,0
125,1,3,0,1,3,0.0,1,0,28,1.0,U,0
126,0,3,0,2,0,2.0,0,1,19,0.0,U,0
127,1,3,0,0,0,1.0,0,1,25,0.0,U,0
128,1,3,1,1,1,0.0,2,0,17,2.0,6,1
129,0,3,0,0,0,2.0,0,1,18,0.0,U,0
130,0,3,0,1,0,1.0,0,1,20,0.0,U,0
131,0,3,0,0,0,1.0,0,1,30,0.0,U,0
132,0,3,1,0,2,2.0,1,0,46,1.0,U,0
133,1,2,1,0,2,1.0,1,0,45,2.0,U,0
134,0,2,0,0,0,1.0,0,1,30,1.0,U,0
135,0,2,0,1,0,1.0,0,1,18,2.0,U,0
136,1,1,1,0,1,1.0,2,0,28,2.0,4,1
137,0,1,0,0,0,2.0,1,0,27,3.0,3,1
138,0,3,0,0,0,1.0,0,1,19,1.0,U,0
139,0,1,0,1,0,1.0,0,1,18,3.0,2,0
140,0,3,1,1,2,1.0,2,0,29,2.0,U,0
141,1,3,1,0,1,1.0,0,1,24,0.0,U,0
142,1,3,1,0,2,1.0,1,0,52,2.0,U,0
143,0,3,0,2,0,1.0,0,1,19,0.0,U,0
144,0,2,0,0,0,1.0,0,1,26,1.0,U,0
145,0,2,0,0,0,1.0,2,0,28,3.0,U,0
146,1,3,0,0,0,1.0,0,1,44,0.0,U,0
147,0,3,1,0,1,0.0,4,0,32,3.0,U,0
148,0,2,0,0,0,2.0,2,0,40,2.0,6,0
149,0,2,0,0,4,2.0,0,1,33,1.0,U,0
150,0,2,0,0,4,2.0,0,1,26,1.0,U,0
151,1,1,1,0,2,1.0,1,0,33,3.0,3,0
152,0,3,0,0,0,3.0,0,1,16,1.0,U,0
153,0,3,0,0,0,2.0,2,0,31,1.0,U,0
154,0,3,0,0,0,1.0,0,1,21,0.0,U,0
155,0,1,0,1,0,2.0,1,0,27,3.0,U,0
156,1,3,1,2,1,1.0,0,1,32,0.0,U,0
157,0,3,0,0,0,1.0,0,1,15,1.0,U,0
158,0,3,0,0,0,1.0,0,1,19,1.0,U,0
159,0,3,0,0,3,0.0,10,0,26,3.0,U,0
160,0,3,0,0,0,2.0,1,0,24,2.0,U,0
161,1,2,1,0,2,2.0,0,1,50,2.0,U,0
162,0,3,0,0,0,1.0,0,1,26,0.0,U,0
163,0,3,0,0,0,1.0,0,1,15,1.0,U,0
164,0,3,0,0,3,0.0,5,0,28,3.0,U,0
165,1,3,0,0,3,0.0,2,0,47,2.0,U,0
166,1,1,1,0,2,2.0,1,0,38,3.0,5,1
167,0,3,1,0,2,2.0,5,0,47,2.0,U,0
168,0,1,0,0,0,2.0,0,1,19,2.0,U,0
169,0,3,0,0,0,1.0,0,1,13,3.0,U,0
170,0,1,0,0,0,3.0,0,1,25,3.0,2,1
171,0,3,0,2,3,0.0,5,0,20,2.0,U,0
172,1,3,1,0,1,0.0,2,0,28,1.0,U,0
173,0,3,0,0,0,1.0,0,1,25,1.0,U,0
174,0,1,0,1,0,3.0,0,1,23,2.0,1,1
175,0,3,0,0,0,1.0,2,0,22,0.0,U,0
176,0,3,0,0,3,0.0,4,0,29,2.0,U,0
177,0,1,1,1,1,2.0,0,1,26,2.0,3,1
178,0,2,0,0,0,1.0,0,1,18,1.0,U,0
179,0,3,0,0,0,2.0,0,1,19,0.0,U,0
180,0,3,1,0,1,1.0,10,0,28,3.0,U,0
181,0,2,0,1,0,1.0,0,1,16,2.0,U,0
182,0,3,0,0,3,0.0,6,0,37,3.0,U,0
183,1,2,0,0,3,0.0,3,0,25,3.0,6,0
184,1,3,1,0,1,0.0,2,0,35,2.0,U,0
185,0,1,0,0,0,3.0,0,1,21,3.0,1,0
186,1,3,1,2,2,1.0,1,0,47,2.0,U,0
187,1,1,0,0,0,2.0,0,1,45,2.0,U,0
188,0,3,0,2,0,2.0,2,0,16,2.0,U,0
189,0,3,0,0,0,2.0,0,1,19,0.0,U,0
190,1,2,1,0,2,1.0,0,1,19,1.0,U,0
191,0,2,0,0,0,1.0,0,1,21,1.0,U,0
192,1,3,1,0,1,1.0,1,0,47,0.0,U,0
193,1,2,0,0,3,0.0,2,0,26,2.0,6,0
194,1,1,1,1,2,2.0,0,1,41,2.0,2,0
195,1,1,1,1,1,3.0,0,1,20,3.0,2,0
196,0,3,0,2,0,2.0,0,1,19,0.0,U,0
197,0,3,0,0,0,2.0,1,0,32,1.0,U,0
198,1,3,1,2,1,1.0,0,1,32,0.0,U,0
199,0,2,1,0,1,1.0,0,1,38,1.0,U,0
200,0,3,0,0,0,1.0,0,1,30,1.0,U,0
201,0,3,0,0,0,1.0,10,0,19,3.0,U,0
202,0,3,0,0,0,1.0,0,1,26,0.0,U,0
203,0,3,0,1,0,2.0,0,1,20,0.0,U,0
204,1,3,0,0,0,1.0,0,1,24,1.0,U,0
205,0,3,1,0,1,0.0,1,0,26,1.0,7,0
206,0,3,0,0,0,1.0,1,0,26,2.0,U,0
207,1,3,0,1,0,1.0,0,1,27,2.0,U,0
208,1,3,1,2,1,1.0,0,1,25,0.0,U,0
209,1,1,0,1,0,2.0,0,1,16,2.0,1,1
210,0,3,0,0,0,1.0,0,1,14,0.0,U,0
211,1,2,1,0,1,2.0,0,1,26,2.0,U,0
212,0,3,0,0,0,1.0,0,1,22,0.0,U,0
213,0,2,0,0,0,1.0,0,1,27,1.0,U,0
214,0,3,0,2,0,1.0,1,0,19,0.0,U,0
215,1,1,1,1,1,1.0,1,0,23,3.0,4,0
216,1,3,1,0,1,1.0,0,1,22,1.0,U,0
217,0,2,0,0,0,2.0,1,0,28,2.0,U,0
218,1,1,1,1,1,1.0,0,1,21,3.0,4,1
219,0,2,0,0,0,1.0,0,1,18,1.0,U,0
220,1,3,0,0,0,1.0,0,1,30,1.0,U,0
221,0,2,0,0,0,1.0,0,1,20,1.0,U,0
222,0,3,0,0,0,2.0,0,1,23,1.0,U,0
223,0,3,0,0,0,1.0,0,1,20,0.0,U,0
224,1,1,0,0,0,2.0,1,0,28,3.0,3,1
225,0,3,0,0,0,1.0,0,1,28,1.0,U,0
226,1,2,0,0,0,1.0,0,1,25,1.0,U,0
227,0,3,0,0,0,1.0,0,1,31,0.0,U,0
228,0,2,0,0,0,1.0,0,1,25,1.0,U,0
229,0,3,1,0,1,0.0,4,0,23,2.0,U,0
230,1,1,1,0,2,2.0,1,0,44,3.0,3,1
231,0,3,0,0,0,1.0,0,1,24,0.0,U,0
232,0,2,0,0,0,3.0,0,1,25,1.0,U,0
233,1,3,1,0,1,0.0,6,0,30,3.0,U,0
234,0,2,0,0,0,1.0,0,1,33,1.0,U,0
235,0,3,1,0,1,1.0,0,1,28,0.0,U,0
236,0,2,0,0,0,2.0,1,0,17,2.0,U,0
237,1,2,1,0,1,0.0,2,0,32,2.0,U,0
238,0,2,0,0,0,1.0,0,1,31,1.0,U,0
239,0,2,0,0,0,1.0,0,1,22,1.0,U,0
240,0,3,1,1,1,1.0,1,0,21,1.0,U,0
241,1,3,1,2,1,1.0,1,0,30,2.0,U,0
242,0,2,0,0,0,1.0,0,1,31,1.0,U,0
243,0,3,0,0,0,1.0,0,1,29,0.0,U,0
244,0,3,0,1,0,1.0,0,1,20,0.0,U,0
245,0,1,0,2,4,2.0,2,0,27,3.0,3,0
246,0,3,1,0,1,1.0,0,1,37,0.0,U,0
247,1,2,1,0,2,1.0,2,0,31,1.0,U,0
248,1,1,0,0,0,2.0,2,0,29,3.0,4,1
249,0,2,0,0,4,3.0,1,0,29,2.0,U,0
250,0,3,0,0,0,1.0,0,1,22,0.0,U,0
251,0,3,1,0,2,1.0,2,0,42,1.0,7,0
252,0,1,0,0,0,3.0,0,1,25,2.0,3,1
253,0,3,0,0,0,1.0,1,0,24,2.0,U,0
254,0,3,1,0,2,2.0,2,0,40,2.0,U,0
255,1,3,1,1,2,1.0,2,0,39,2.0,U,0
256,1,1,1,1,2,2.0,0,1,30,3.0,U,0
257,1,1,1,0,1,1.0,0,1,20,3.0,2,1
258,1,1,1,1,1,2.0,0,1,16,3.0,U,0
259,1,2,1,0,2,2.0,1,0,27,2.0,U,0
260,0,3,0,2,0,2.0,0,1,17,0.0,U,0
261,1,3,0,0,3,0.0,6,0,33,3.0,U,0
262,0,1,0,0,0,2.0,2,0,17,3.0,5,1
263,0,1,0,0,0,2.0,0,1,21,0.0,2,0
264,0,3,1,2,1,1.0,0,1,18,0.0,U,0
265,0,2,0,0,0,2.0,0,1,17,1.0,U,0
266,0,3,0,0,0,1.0,5,0,25,3.0,U,0
267,1,3,0,0,0,1.0,1,0,24,0.0,U,0
268,1,1,1,0,2,3.0,1,0,45,3.0,3,1
269,1,1,1,0,1,2.0,0,1,22,3.0,3,1
270,0,1,0,0,0,2.0,0,1,21,2.0,U,0
271,1,3,0,0,0,1.0,0,1,28,0.0,U,0
272,1,2,1,0,2,2.0,1,0,41,2.0,U,0
273,0,1,0,1,0,2.0,1,0,21,2.0,3,0
274,1,3,1,2,1,1.0,0,1,26,0.0,U,0
275,1,1,1,0,1,3.0,1,0,33,3.0,4,1
276,0,3,1,0,1,2.0,0,1,33,0.0,U,0
277,0,2,0,0,0,2.0,0,1,27,0.0,U,0
278,0,3,0,2,3,0.0,5,0,18,2.0,U,0
279,1,3,1,0,2,2.0,2,0,32,2.0,U,0
280,0,3,0,2,0,3.0,0,1,16,0.0,U,0
281,0,3,0,0,0,1.0,0,1,32,0.0,U,0
282,0,3,0,0,0,1.0,0,1,25,1.0,U,0
283,1,3,0,0,0,1.0,0,1,26,1.0,U,0
284,0,1,0,0,0,2.0,0,1,26,2.0,1,1
285,0,3,0,1,0,1.0,0,1,19,1.0,U,0
286,1,3,0,0,0,1.0,0,1,23,1.0,U,0
287,0,3,0,0,0,1.0,0,1,20,0.0,U,0
288,1,2,0,0,0,2.0,0,1,20,1.0,U,0
289,1,3,1,2,1,1.0,0,1,20,0.0,U,0
290,1,1,1,0,1,1.0,0,1,28,3.0,U,0
291,1,1,1,1,2,1.0,1,0,39,3.0,2,1
292,0,2,0,1,0,2.0,0,1,22,1.0,4,0
293,0,3,1,0,1,1.0,0,1,19,1.0,U,0
294,0,3,0,0,0,1.0,0,1,16,0.0,U,0
295,0,1,0,1,0,2.0,0,1,17,2.0,U,0
296,0,3,0,1,0,1.0,0,1,18,0.0,U,0
297,0,1,1,0,1,0.0,3,0,28,3.0,3,0
298,1,1,0,0,0,2.0,0,1,21,2.0,3,0
299,1,1,1,1,2,2.0,1,0,47,3.0,2,0
300,1,3,1,2,1,1.0,0,1,40,0.0,U,0
301,1,3,0,2,0,1.0,2,0,18,2.0,U,0
302,0,3,0,0,0,1.0,0,1,31,0.0,U,0
303,1,2,1,2,1,1.0,0,1,19,1.0,5,1
304,0,3,0,0,0,1.0,0,1,33,1.0,U,0
305,1,1,0,0,3,0.0,3,0,30,3.0,3,0
306,1,1,1,1,1,1.0,0,1,23,3.0,U,0
307,1,1,1,1,2,1.0,1,0,82,3.0,3,1
308,0,2,0,1,0,1.0,1,0,19,2.0,U,0
309,1,1,1,1,1,1.0,0,1,30,3.0,5,0
310,1,1,1,1,1,1.0,0,1,30,3.0,3,0
311,1,1,1,1,1,1.0,4,0,26,3.0,2,1
312,0,2,1,0,2,1.0,2,0,37,2.0,U,0
313,0,3,0,0,0,1.0,0,1,22,0.0,U,0
314,0,2,0,0,0,2.0,2,0,18,2.0,U,0
315,1,3,1,0,1,1.0,0,1,31,0.0,U,0
316,1,2,1,0,2,1.0,1,0,35,2.0,U,0
317,0,2,0,0,4,3.0,0,1,20,1.0,U,0
318,1,1,1,0,1,1.0,2,0,24,3.0,3,1
319,1,1,1,1,2,2.0,2,0,56,3.0,5,0
320,0,3,0,0,0,1.0,0,1,18,0.0,U,0
321,0,3,0,0,0,1.0,0,1,16,0.0,U,0
322,1,2,1,2,1,1.0,0,1,25,1.0,U,0
323,1,2,1,0,2,1.0,2,0,51,2.0,U,0
324,0,3,0,0,0,1.0,10,0,24,3.0,U,0
325,1,1,1,1,1,2.0,0,1,24,3.0,3,0
326,0,3,0,0,0,3.0,0,1,25,0.0,U,0
327,1,2,1,0,2,2.0,0,1,23,1.0,4,0
328,1,3,1,0,2,1.0,2,0,46,2.0,U,0
329,1,1,1,1,1,1.0,1,0,28,3.0,2,0
330,1,3,1,2,1,1.0,2,0,18,2.0,U,0
331,0,1,0,0,0,2.0,0,1,19,2.0,3,0
332,0,1,0,0,0,2.0,1,0,25,3.0,3,1
333,0,3,0,0,0,1.0,2,0,31,2.0,U,0
334,1,1,1,0,2,1.0,1,0,50,3.0,U,0
335,0,3,0,0,0,1.0,0,1,18,0.0,U,0
336,0,1,0,0,0,1.0,1,0,25,3.0,3,0
337,1,1,1,1,1,2.0,0,1,31,3.0,5,0
338,1,3,0,0,0,2.0,0,1,21,1.0,U,0
339,0,1,0,0,0,2.0,0,1,28,3.0,8,0
340,1,2,0,0,3,0.0,2,0,30,2.0,6,0
341,1,1,1,0,1,1.0,5,0,30,3.0,3,1
342,0,2,0,0,0,1.0,0,1,26,1.0,U,0
343,0,2,0,0,0,1.0,0,1,42,1.0,U,0
344,0,2,0,0,0,2.0,0,1,23,1.0,U,0
345,1,2,1,0,1,1.0,0,1,29,1.0,6,1
346,1,2,1,0,1,2.0,0,1,25,1.0,U,0
347,1,3,1,0,2,1.0,1,0,41,2.0,U,0
348,1,3,0,0,3,0.0,2,0,38,2.0,U,0
349,0,3,0,0,0,2.0,0,1,16,1.0,U,0
350,0,3,0,0,0,1.0,0,1,22,1.0,U,0
351,0,1,0,0,0,3.0,0,1,38,3.0,3,0
352,0,3,0,1,0,1.0,2,0,18,0.0,U,0
353,0,3,0,0,0,1.0,1,0,25,2.0,U,0
354,0,3,0,1,0,1.0,0,1,17,0.0,U,0
355,0,3,0,0,0,1.0,0,1,27,1.0,U,0
356,1,1,1,0,1,1.0,1,0,27,3.0,5,1
357,0,2,1,0,1,2.0,0,1,25,1.0,U,0
358,1,3,1,2,1,1.0,0,1,20,0.0,U,0
359,1,3,1,2,1,1.0,0,1,33,0.0,U,0
360,0,3,0,0,0,2.0,5,0,18,2.0,U,0
361,0,2,0,1,0,1.0,1,0,25,2.0,U,0
362,0,3,1,1,2,2.0,1,0,31,1.0,U,0
363,0,3,0,0,0,2.0,0,1,15,0.0,U,0
364,0,3,0,2,0,1.0,1,0,19,2.0,U,0
365,0,3,0,0,0,1.0,0,1,30,0.0,U,0
366,1,1,1,1,2,3.0,1,0,48,3.0,4,1
367,1,3,1,1,2,1.0,0,1,30,0.0,U,0
368,1,3,1,2,1,1.0,0,1,19,0.0,U,0
369,1,1,1,1,4,1.0,0,1,29,3.0,2,1
370,1,1,0,1,0,1.0,1,0,27,3.0,5,0
371,0,3,0,0,0,1.0,1,0,25,0.0,U,0
372,0,3,0,0,0,1.0,0,1,26,1.0,U,0
373,0,1,0,1,0,1.0,0,1,19,3.0,U,0
374,0,3,1,0,1,0.0,4,0,26,2.0,U,0
375,1,1,1,1,2,2.0,1,0,37,3.0,U,0
376,1,3,1,0,1,1.0,0,1,31,0.0,U,0
377,0,1,0,1,0,1.0,2,0,25,3.0,3,0
378,0,3,0,1,0,1.0,0,1,19,0.0,U,0
379,0,3,0,0,0,1.0,0,1,27,0.0,U,0
380,1,1,1,1,1,2.0,0,1,21,3.0,U,0
381,1,3,1,1,1,0.0,2,0,27,2.0,U,0
382,0,3,0,0,0,1.0,0,1,18,1.0,U,0
383,1,1,1,0,2,2.0,1,0,51,3.0,U,0
384,0,3,0,0,0,1.0,0,1,22,0.0,U,0
385,0,2,0,0,0,1.0,0,1,25,3.0,U,0
386,0,3,0,0,3,0.0,7,0,31,3.0,U,0
387,1,2,1,0,1,2.0,0,1,16,1.0,U,0
388,0,3,0,2,0,1.0,0,1,20,0.0,U,0
389,1,2,1,1,1,1.0,0,1,21,1.0,U,0
390,1,1,0,0,0,2.0,3,0,26,3.0,2,0
391,1,3,0,0,0,1.0,0,1,22,0.0,U,0
392,0,3,0,0,0,1.0,2,0,28,1.0,U,0
393,1,1,1,1,1,1.0,1,0,22,3.0,4,0
394,1,3,1,0,2,1.0,2,0,51,2.0,7,0
395,0,3,0,0,0,1.0,0,1,19,0.0,U,0
396,0,3,1,0,1,1.0,0,1,19,0.0,U,0
397,0,2,0,0,0,2.0,0,1,23,2.0,U,0
398,0,2,0,0,4,1.0,0,1,16,1.0,U,0
399,1,2,1,0,2,1.0,0,1,32,1.0,U,0
400,1,3,0,0,0,2.0,0,1,18,1.0,U,0
401,0,3,0,0,0,1.0,0,1,15,1.0,U,0
402,0,3,1,0,1,1.0,1,0,24,1.0,U,0
403,0,3,0,0,0,1.0,1,0,30,2.0,U,0
404,0,3,1,0,1,1.0,0,1,23,1.0,U,0
405,0,2,0,0,0,1.0,1,0,18,2.0,U,0
406,0,3,0,0,0,2.0,0,1,32,0.0,U,0
407,1,2,0,0,3,0.0,2,0,30,2.0,U,0
408,0,3,0,0,0,1.0,0,1,33,0.0,U,0
409,0,3,1,0,1,0.0,4,0,18,2.0,U,0
410,0,3,0,0,0,1.0,0,1,18,0.0,U,0
411,0,3,0,2,0,1.0,0,1,15,0.0,U,0
412,1,1,1,2,1,1.0,1,0,22,3.0,3,0
413,0,2,0,0,0,2.0,0,1,30,0.0,U,0
414,1,3,0,0,0,2.0,0,1,25,1.0,U,0
415,0,3,1,0,2,2.0,0,1,39,1.0,U,0
416,1,2,1,0,2,1.0,2,0,47,3.0,U,0
417,1,2,1,0,1,1.0,2,0,29,1.0,U,0
418,0,2,0,0,0,1.0,0,1,26,1.0,U,0
419,0,3,1,0,1,0.0,2,0,25,2.0,U,0
420,0,3,0,1,0,1.0,0,1,22,0.0,U,0
421,0,3,0,2,0,1.0,0,1,19,0.0,U,0
422,0,3,0,0,0,1.0,0,1,18,0.0,U,0
423,0,3,1,0,2,1.0,2,0,54,1.0,U,0
424,0,3,0,0,0,1.0,2,0,27,2.0,U,0
425,0,3,0,0,0,1.0,0,1,22,0.0,U,0
426,1,2,1,0,2,1.0,1,0,43,2.0,U,0
427,1,2,1,0,1,1.0,0,1,67,2.0,U,0
428,0,3,0,2,0,2.0,0,1,16,0.0,U,0
429,1,3,0,0,0,1.0,0,1,34,1.0,5,0
430,1,1,0,0,0,1.0,0,1,41,2.0,3,0
431,1,3,1,0,2,1.0,1,0,49,2.0,U,0
432,1,2,1,0,2,2.0,1,0,51,2.0,U,0
433,0,3,0,0,0,1.0,0,1,26,0.0,U,0
434,0,1,0,0,0,2.0,1,0,25,3.0,5,0
435,1,1,1,0,1,0.0,3,0,25,3.0,2,0
436,0,3,1,0,1,1.0,4,0,36,3.0,U,0
437,1,2,1,0,2,1.0,5,0,37,2.0,U,0
438,0,1,0,0,0,3.0,5,0,17,3.0,3,1
439,0,2,0,0,0,1.0,0,1,38,1.0,U,0
440,1,2,1,0,2,2.0,2,0,43,2.0,U,0
441,0,3,0,0,0,1.0,0,1,15,1.0,U,0
442,0,3,0,0,0,1.0,1,0,25,0.0,U,0
443,1,2,1,0,4,1.0,0,1,25,1.0,U,0
444,1,3,0,0,0,1.0,0,1,33,1.0,U,0
445,1,1,0,0,3,0.0,2,0,25,3.0,1,0
446,1,2,1,0,1,0.0,1,0,33,2.0,U,0
447,1,1,0,0,0,1.0,0,1,27,2.0,U,0
448,1,3,1,1,1,0.0,3,0,30,2.0,U,0
449,1,1,0,0,4,2.0,0,1,30,2.0,3,0
450,0,2,0,0,0,2.0,3,0,21,2.0,U,0
451,0,3,0,0,0,1.0,1,0,31,2.0,U,0
452,0,1,0,1,0,1.0,0,1,31,2.0,3,1
453,1,1,0,1,0,2.0,1,0,24,3.0,3,0
454,0,3,0,0,0,1.0,0,1,19,1.0,U,0
455,1,3,0,1,0,1.0,0,1,18,0.0,U,0
456,0,1,0,0,0,3.0,0,1,25,2.0,5,0
457,1,1,1,0,2,2.0,1,0,33,3.0,4,1
458,1,2,1,0,1,2.0,0,1,19,1.0,U,0
459,0,3,0,2,0,2.0,0,1,21,0.0,U,0
460,1,1,0,0,0,2.0,0,1,19,2.0,5,0
461,0,3,0,0,0,1.0,0,1,19,1.0,U,0
462,0,1,0,0,0,2.0,0,1,17,3.0,5,1
